||||||||||||||||||||||||||||Zařazení do kategorií (1 - patří do kategorie, 0 - nepatří do kategorie, 0,5 - patří částečně)||||||||||||||||||||||||||||
ID|Base data|Město/obec|Objekt|Kraj|Okres|Varhanář|Datace varhanáře|ID varhanáře|ID varhanáře (base data)|Zem. šířka|Zem. délka|Zahraniční varhanář|Rok|Man.|Rejstříků|Typ|Typ|Pozitiv|Původ skříně|Cena (Kč)|Restaurování/rekonstrukce|ID varhanáře – restaurování/rekonstrukce|ID varhanáře – restaurování/rekonstrukce (base data)|Rok|Cena opravy|Důležitost (1-10; 1 – nejvyšší)|Dochovaná zvuková podoba (alespoň částečně)|do 1799|1800-1944|1945-1989|1990-nyní|Renesanční varhany|Barokní a pozdně barokní varhany|Romantické varhany (stylově)|Neobarokní a univerzální varhany|Nejstarší|Největší|Cenná skříň|Typ objektu|Koncertní sál|Významné festivaly|Zdůvodnění důležitosti|Literatura|Audiotéka|Web|ID varhany.net|varhany.net úplné|Popis|Poznámka|Poznámka neveřejná|Hotovo|Zkontrolováno|Obrázek|Obrázek kredit|Obrázek exteriér|Obrázek exteriér kredit
25|1|Brno|kostel sv. Jakuba|Jihomoravský|Brno-město|Svítil, František|1805-1873|37||49.1966367|16.6084586||1862|2|31|mz|mechanická traktura, zásuvková vzdušnice||Ryšák, Jakub (varhanář)|5600 zl.||||||3|0|1|||||1|||||Cenná skříň zdobená řezbami a sochařskou výzdobou.|římskokatolický kostel|||Reprezentativní nástroj významných varhanářů Jakuba Ryšáka (z jeho varhan se dochovala jen skříň) a Františka Svítila.|Krátký, Jiří a Svoboda, Štěpán. Nejvýznamnější varhany v České republice. 1. vydání. V Brně: CPress, 2019. 267 stran. ISBN 978-80-264-2859-6. (str. 34)|||710||Z barokních dvoumanuálových varhan Jakuba Ryšáka z r. 1691 se zachovala pouze významná varhanní skříň. Nástroj Františka Svítila je zajímavým a ojedinělým dokladem varhanářství v 1. pol. 19. stol.|||1|||||
27||Brno|jezuitský kostel Nanebevzetí Panny Marie|Jihomoravský|Brno-město|Mathis Orgelbau|||10|49.1968281|16.6104647|Švýcarsko|2014|3|48|mz|mechanická traktura, zásuvková vzdušnice|||34800000||||||1|1||||1||||1||||římskokatolický kostel||Brněnský varhanní festival|Jeden z mála velkých koncertních nástrojů postavených přední zahraniční firmou po r. 1989.|Krátký, Jiří a Svoboda, Štěpán. Nejvýznamnější varhany v České republice. 1. vydání. V Brně: CPress, 2019. 267 stran. ISBN 978-80-264-2859-6. (str. 30); Varhaník: časopis pro varhanickou praxi. Kostelní Vydří: Karmelitské nakladatelství, [1999]- . ISSN 1212-5334. (2011/4, str. 1)||http://www.campianus.eu/projekt-varhany.html; https://jaroslavtuma.cz/2018/02/02/brno-varhany-mathis/|810||Před 2. světovou válkou stávaly v kostele významné dvoumanuálové barokní varhany pražského varhanáře Tomáše Schwarze z r. 1744. Tyto varhany byly zničeny v důsledku náletu během 2. světové války. Projekt na stavbu nových varhan zaštiťoval Nadační fond Campanius, nesoucí jméno anglického mučedníka Edmunda Kampiána, po kterém byly pojmenovány i samotné varhany. Varhany dosahují značných řemeslných a zvukových kvalit a díky pestré skladbě rejstříků, zahrnující i tradici romantického varhanářství, jsou vhodné k interpretaci hudby různých stylových období.|||1||https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Brno%2C_Kostel_Nanebevzet%C3%AD_Panny_Marie_v_Brn%C4%9B_-_2.JPG/360px-Brno%2C_Kostel_Nanebevzet%C3%AD_Panny_Marie_v_Brn%C4%9B_-_2.JPG|Michal Klajban, CC BY-SA 3.0, via Wikimedia Commons||
56||Brno|katedrála sv. Petra a Pavla (Petrov)|Jihomoravský|Brno-město|Paštikové; Plhoň, Pavel||2||49.1910069|16.6074956||1909; 2008|3|73|?|?|||||||||5|0,5||1|||||1|1||||římskokatolický kostel||Varhanní léto na Petrově||||https://www.varhannivysehrad.cz/|715||Mimořádně velký třímanuálový romantický nástroj bratří Paštiků se 65 rejstříky se v původní zvukové podobě nedochoval, protože byl výrazně přestavěn varhanářem Pavlem Plhoňem.||Počet rejstříků odsud: https://brnensky.denik.cz/zpravy_region/petrov-rozezni-opravene-varhany20080828.html|1|||||
81||Brno|kostel sv. Augustina|Jihomoravský|Brno-město|Rieger-Kloss||14||49.2024917|16.5811025||1976|3|28|mz|mechanická traktura, zásuvková vzdušnice||Fischer, Vladimír|||||||7|1|||1|||||1|||Skříň vhodně doplňuje interiér funkcionalistického kostela. Navrhl ji sám architekt chrámu Vladimír Fischer.|římskokatolický kostel||Brněnský varhanní festival|Varhany reprezentují návrat k tradičnímu technickému řešení varhan, zásuvkové vzdušnici s mechanickou trakturou, kterou začala firma Rieger-Kloss opětovně využívat od 70. let 20. století. Tento posun přiblížil domácí varhanářství standardům běžným v západní Evropě.|Krátký, Jiří a Svoboda, Štěpán. Nejvýznamnější varhany v České republice. 1. vydání. V Brně: CPress, 2019. 267 stran. ISBN 978-80-264-2859-6. (str. 32)|||5610||Varhany patří k nejzdařilejším mechanickým varhanám postaveným firmou Rieger-Kloss. Koncertnímu využití varhan napomáhá i příznivá akustika kostela.||Na varhany.net kostel zcela chybí.|1|||||
82||Brno|Besední dům|Jihomoravský|Brno-město|Rieger-Kloss||14||49.1960317|16.6042156||1981|3|48|mz|mechanická traktura, zásuvková vzdušnice|||||||||7|1|||1|||||1||||koncertní síň|1||||||5731||||Není na varhany.net|1|||||
86||Brno|kostel sv. Michala|Jihomoravský||Rieger-Kloss||14||49.1935736|16.6066372||1953|3|47|p|pneumatická traktura|||||||||10|1|||1|||||||||římskokatolický kostel|||||||714||||||||||
45||Česká Třebová|kostel sv. Jakuba Většího|Pardubický|Ústí nad Orlicí|Grygar, Vladimír||5||49.9024564|16.4465369||2004|3|38|epk|elektropneumatická traktura, kuželková vzdušnice|||||||||9|1||||1||||||||římskokatolický kostel||Mezinárodní varhanní festival Zdeňka Pololáníka|||||3721||Varhany pravidelně hostí Mezinárodní varhanní festival Zdeňka Pololáníka.|||1|||||
104||Český Krumlov|kostel sv. Víta|Jihočeský|Český Krumlov|Schiffner, Jindřich|1853-1938|20||48.8101597|14.3161253||1908|3|45|pv|pneumatická traktura, výpustná vzdušnice||||Organa|45||2009||4|1||1|||||1|||||římskokatolický kostel|||Velký a zachovalý nástroj Jindřicha Schiffnera.|Krátký, Jiří a Svoboda, Štěpán. Nejvýznamnější varhany v České republice. 1. vydání. V Brně: CPress, 2019. 267 stran. ISBN 978-80-264-2859-6. (str. 46)|||718||Zvukově zdařilý nástroj je vsazen do mohutné pseudogotické skříně, bohatě řezbářsky zdobené.|||1|||||
